n;date;time;AM-PM;temp;hr;pt_roc;;;;
293;04/05/14;11:00;;29.414;44.6;16.1;;;;
294;04/05/14;11:10;;30.192;44.8;16.9;;;;
295;04/05/14;11:20;;30.571;43.6;16.8;;;;
296;04/05/14;11:30;;30.545;43.5;16.7;;;;
297;04/05/14;11:40;;30.748;42.3;16.5;;;;
298;04/05/14;11:50;;31.153;41.7;16.6;;;;
299;04/05/14;12:00;;31.255;41.5;16.6;;;;
300;04/05/14;12:10;;32.613;40.1;17.3;;;;
301;04/05/14;12:20;;31.893;39.7;16.5;;;;
302;04/05/14;12:30;;32.253;39.2;16.6;;;;
303;04/05/14;12:40;;32.433;38.9;16.7;;;;
304;04/05/14;12:50;;32.458;38.5;16.5;;;;
305;04/05/14;13:00;;32.975;38;16.8;;;;
306;04/05/14;13:10;;31.996;38;15.9;;;;
307;04/05/14;13:20;;32.304;38.2;16.3;;;;
308;04/05/14;13:30;;32.15;37.8;16;;;;
309;04/05/14;13:40;;32.639;37.9;16.4;;;;
310;04/05/14;13:50;;32.768;37.3;16.3;;;;
311;04/05/14;14:00;;32.949;36.5;16.1;;;;
312;04/05/14;14:10;;32.794;36.9;16.2;;;;
313;04/05/14;14:20;;32.613;36.6;15.9;;;;
314;04/05/14;14:30;;33.417;36.9;16.7;;;;
315;04/05/14;14:40;;32.975;36.6;16.2;;;;
316;04/05/14;14:50;;32.433;36.3;15.6;;;;
317;04/05/14;15:00;;32.691;36.2;15.8;;;;
318;04/05/14;15:10;;33.339;36.1;16.3;;;;
319;04/05/14;15:20;;32.484;36.4;15.7;;;;
320;04/05/14;15:30;;32.51;37.3;16.1;;;;
321;04/05/14;15:40;;31.97;37.3;15.6;;;;
322;04/05/14;15:50;;31.612;38;15.6;;;;
323;04/05/14;16:00;;31.357;38.6;15.6;;;;
324;04/05/14;16:10;;31.128;39.1;15.6;;;;
325;04/05/14;16:20;;30.925;39.8;15.7;;;;
326;04/05/14;16:30;;30.672;40.3;15.7;;;;
327;04/05/14;16:40;;30.469;41;15.7;;;;
328;04/05/14;16:50;;29.916;41.5;15.4;;;;
329;04/05/14;17:00;;29.54;42.6;15.5;;;;
330;04/05/14;17:10;;29.615;43.2;15.8;;;;
331;04/05/14;17:20;;29.365;43.7;15.8;;;;
332;04/05/14;17:30;;28.891;44.3;15.5;;;;
333;04/05/14;17:40;;28.543;45.3;15.6;;;;
334;04/05/14;17:50;;27.974;46.3;15.4;;;;
335;04/05/14;18:00;;27.579;47.2;15.3;;;;
336;04/05/14;18:10;;26.989;48.5;15.2;;;;
337;04/05/14;18:20;;26.573;49.5;15.2;;;;
338;04/05/14;18:30;;26.207;50.8;15.2;;;;
339;04/05/14;18:40;;25.841;51.8;15.2;;;;
340;04/05/14;18:50;;25.574;53;15.3;;;;
341;04/05/14;19:00;;25.331;54;15.4;;;;
342;04/05/14;19:10;;25.186;54.7;15.4;;;;
343;04/05/14;19:20;;24.726;55.2;15.2;;;;
344;04/05/14;19:30;;24.267;56.6;15.1;;;;
345;04/05/14;19:40;;23.905;57.7;15.1;;;;
346;04/05/14;19:50;;23.737;58.3;15.1;;;;
347;04/05/14;20:00;;23.521;59.3;15.1;;;;
348;04/05/14;20:10;;23.352;59.9;15.1;;;;
349;04/05/14;20:20;;23.088;60.8;15.1;;;;
350;04/05/14;20:30;;22.968;61.5;15.2;;;;
351;04/05/14;20:40;;22.848;62.2;15.3;;;;
352;04/05/14;20:50;;22.776;62.7;15.3;;;;
353;04/05/14;21:00;;22.705;63;15.3;;;;
354;04/05/14;21:10;;22.609;63.5;15.4;;;;
355;04/05/14;21:20;;22.609;63.8;15.4;;;;
356;04/05/14;21:30;;22.633;63.9;15.5;;;;
357;04/05/14;21:40;;22.585;64;15.5;;;;
358;04/05/14;21:50;;22.537;64.4;15.5;;;;
359;04/05/14;22:00;;22.441;64.7;15.5;;;;
360;04/05/14;22:10;;22.369;65.1;15.5;;;;
361;04/05/14;22:20;;22.321;65.2;15.5;;;;
362;04/05/14;22:30;;22.25;65.3;15.4;;;;
363;04/05/14;22:40;;22.178;65.4;15.4;;;;
364;04/05/14;22:50;;22.011;65.7;15.3;;;;
365;04/05/14;23:00;;21.963;66;15.3;;;;
366;04/05/14;23:10;;21.891;66.2;15.3;;;;
367;04/05/14;23:20;;21.819;66.4;15.3;;;;
368;04/05/14;23:30;;21.772;66.8;15.3;;;;
369;04/05/14;23:40;;21.652;67.1;15.3;;;;
370;04/05/14;23:50;;21.581;67.7;15.4;33.417;21.581;67.7;36.1
371;04/06/14;00:00;;21.461;68;15.3;;;;
372;04/06/14;00:10;;21.366;68.3;15.3;;;;
373;04/06/14;00:20;;21.318;68.6;15.3;;;;
374;04/06/14;00:30;;21.246;68.7;15.3;;;;
375;04/06/14;00:40;;21.175;69;15.3;;;;
376;04/06/14;00:50;;21.079;69.3;15.3;;;;
377;04/06/14;01:00;;21.008;69.6;15.3;;;;
378;04/06/14;01:10;;21.008;70;15.3;;;;
379;04/06/14;01:20;;20.984;70.1;15.3;;;;
380;04/06/14;01:30;;20.865;70.2;15.3;;;;
381;04/06/14;01:40;;20.746;70.9;15.3;;;;
382;04/06/14;01:50;;20.698;71.3;15.3;;;;
383;04/06/14;02:00;;20.627;71.7;15.4;;;;
384;04/06/14;02:10;;20.603;72.4;15.5;;;;
385;04/06/14;02:20;;20.531;72.8;15.5;;;;
386;04/06/14;02:30;;20.46;73.3;15.5;;;;
387;04/06/14;02:40;;20.412;73.9;15.6;;;;
388;04/06/14;02:50;;20.365;74.5;15.7;;;;
389;04/06/14;03:00;;20.317;75;15.8;;;;
390;04/06/14;03:10;;20.317;75.4;15.8;;;;
391;04/06/14;03:20;;20.246;75.6;15.8;;;;
392;04/06/14;03:30;;20.198;75.9;15.8;;;;
393;04/06/14;03:40;;20.174;76.2;15.9;;;;
394;04/06/14;03:50;;20.174;76.5;15.9;;;;
395;04/06/14;04:00;;20.15;76.7;16;;;;
396;04/06/14;04:10;;20.103;77;16;;;;
397;04/06/14;04:20;;20.103;77.3;16;;;;
398;04/06/14;04:30;;20.103;77.4;16;;;;
399;04/06/14;04:40;;20.031;77.6;16;;;;
400;04/06/14;04:50;;19.96;77.6;15.9;;;;
401;04/06/14;05:00;;19.888;77.6;15.9;;;;
402;04/06/14;05:10;;19.841;77.9;15.9;;;;
403;04/06/14;05:20;;19.793;78.1;15.9;;;;
404;04/06/14;05:30;;19.77;78.4;15.9;;;;
405;04/06/14;05:40;;19.746;78.5;15.9;;;;
406;04/06/14;05:50;;19.722;78.6;15.9;;;;
407;04/06/14;06:00;;19.674;78.8;15.9;;;;
408;04/06/14;06:10;;19.627;79;15.9;;;;
409;04/06/14;06:20;;19.555;79.3;15.9;;;;
410;04/06/14;06:30;;19.508;79.5;15.9;;;;
411;04/06/14;06:40;;19.603;79.7;16;;;;
412;04/06/14;06:50;;19.888;79.4;16.2;;;;
413;04/06/14;07:00;;20.269;78.6;16.5;;;;
414;04/06/14;07:10;;20.65;77.6;16.6;;;;
415;04/06/14;07:20;;21.056;76.4;16.8;;;;
416;04/06/14;07:30;;21.39;75.1;16.8;;;;
417;04/06/14;07:40;;21.652;73.7;16.8;;;;
418;04/06/14;07:50;;22.441;72.3;17.2;;;;
